id, height
62281, 84.015588
62283, 76.189412
62284, 61.237292
62287, 62.266000
62288, 61.569812
62289, 81.148266
62290, 78.655577
62291, 94.670958
62541, 65.252635
62542, 65.770540
62543, 68.881453
62544, 67.390496
62545, 64.612516
62546, 65.314510
62547, 66.386471
62548, 69.954755
62549, 67.016891
62550, 76.759939
62565, 62.595276
62566, 65.079420
62567, 57.026364
62568, 57.703953
62569, 59.039932
62570, 75.462668
62571, 58.759077
62572, 74.873758
62573, 63.961428
62574, 67.150394
62575, 58.228643
62576, 58.452500
62577, 67.132265
62578, 63.250000
62579, 58.049166
62580, 62.650128
62581, 63.308834
62582, 59.977699
62583, 58.034572
62584, 72.534618
62585, 64.671813
62586, 57.546956
62587, 64.325655
62588, 64.194237
62589, 57.535758
62590, 68.341892
62591, 65.919160
62592, 63.999360
62593, 60.273875
62594, 56.502728
62595, 63.449500
62596, 55.068800
62597, 59.250139
62598, 60.682788
62599, 56.961640
62600, 66.877394
62601, 61.648993
62602, 68.273696
62603, 59.613954
62604, 69.524980
62674, 54.505000
62685, 61.461108
62686, 61.476582
62687, 57.222044
62688, 66.407051
62689, 63.826802
62690, 55.909857
62691, 64.793490
62692, 64.251846
62693, 61.583398
62694, 61.584891
62695, 55.225263
62696, 55.345250
62697, 56.729029
62698, 54.144603
62699, 62.377000
63226, 63.992771
71136, 67.996008
88477, 50.239202
101207, 66.824492
114664, 67.795664
114665, 69.505441
114667, 51.503906
114668, 70.563476
114669, 70.072500
114670, 74.392568
124785, 72.218208
124786, 60.198671
124787, 64.437517
124788, 68.025438
124789, 63.065033
124790, 56.253889
124796, 58.437064
124797, 60.950281
124798, 69.347098
124799, 65.703839
124800, 61.539456
124801, 66.432844
124874, 66.474342
124875, 68.647909
124876, 62.754907
124877, 68.775637
124878, 56.234904
124879, 66.380216
124880, 57.165652
124881, 63.959927
124882, 68.649124
124883, 54.575384
124884, 66.038808
124885, 68.431047
124886, 63.211912
124887, 64.137851
124888, 68.965620
124894, 62.430659
124921, 69.946584
124922, 61.816085
124923, 69.353439
124924, 69.917545
124925, 55.246296
124926, 53.888695
124927, 69.512592
124928, 67.232315
124929, 66.484368
124930, 69.388672
124931, 53.713947
124932, 63.536687
124933, 62.931831
125005, 53.728000
125006, 65.017554
125007, 53.339167
125008, 51.517037
125009, 69.338797
125010, 60.721994
136761, 61.155721
136762, 63.660759
137285, 59.078079
137323, 51.675744
137324, 51.614333
137325, 52.742820
137326, 50.785000
137327, 51.978834
137328, 54.276105
137329, 56.275238
140640, 58.705745
140641, 57.947540
142192, 68.228161
148305, 70.720162
155490, 130.990987
155493, 74.629997
155494, 114.418315
158493, 63.334170
158494, 55.851855
158495, 54.594464
158496, 54.456888
158497, 53.822609
158498, 52.383000
158499, 54.970870
158500, 71.520511
158501, 54.911618
158502, 53.229444
158503, 65.053806
158504, 59.963750
158559, 64.422245
158560, 59.607310
158561, 74.548425
158562, 60.306776
158563, 73.522365
158564, 67.915952
158565, 65.652917
158566, 63.615871
158567, 58.374891
159285, 69.762679
159286, 63.135171
159287, 60.715046
159288, 58.926588
159289, 52.450859
159290, 53.395000
159291, 61.913423
159292, 66.526557
159293, 69.738636
159294, 70.801559
159295, 63.311346
159296, 69.376669
159382, 62.449452
159383, 64.087151
159384, 58.232955
159385, 66.103896
161859, 69.730437
161860, 62.705807
161861, 62.845026
161862, 59.970995
161863, 63.100600
161864, 57.475714
161865, 61.599777
161866, 57.166164
161867, 68.686866
161868, 59.011283
169187, 63.885321
169872, 58.152241
169873, 51.943736
169874, 59.398639
170856, 72.651283
176877, 58.279245
176878, 57.901136
178401, 70.284723
178402, 74.795347
207768, 148.987803
207769, 142.804436
207770, 151.040843
209271, 53.685998
209272, 52.237647
209273, 52.007420
233802, 72.668312
243784, 63.741415
244842, 70.994827
244843, 78.422116
244901, 63.562344
244902, 62.696413
244903, 61.640757
244908, 63.083025
244921, 55.899550
244950, 69.688946
252442, 58.100727
268838, 64.796512
268839, 61.869348
271199, 72.197748
273235, 59.676143
273238, 55.560594
280093, 66.939161
280094, 65.102314
280095, 63.605787
280096, 71.679822
280097, 65.791714
287430, 60.017691
291287, 69.566667
294726, 59.541812
294820, 63.792327
294821, 60.302341
294822, 62.013790
294823, 59.982737
294908, 52.257143
294850, 106.130952
294905, 52.163690
294906, 51.223334
294907, 52.614000
294909, 52.146250
294910, 62.481800
294912, 70.751646
294955, 54.074906
294956, 57.007059
294957, 70.195649
295155, 60.837318
295156, 54.257893
295157, 60.630030
295158, 68.415090
295159, 67.242505
295160, 69.663876
295161, 72.945152
295162, 70.284851
295163, 64.784417
295164, 66.451454
295165, 70.526247
295166, 67.019383
295167, 53.460289
295168, 60.783608
295169, 64.689145
295170, 52.641304
295171, 55.583982
295172, 66.302696
295173, 66.954208
295174, 70.665418
295175, 64.269199
295176, 66.330614
295177, 52.434032
295178, 59.841247
295179, 61.612956
295180, 61.415879
295183, 60.088788
295249, 69.307452
295268, 51.308588
295269, 56.029094
295270, 53.287422
295271, 56.184713
295272, 73.606229
296485, 48.997369
296486, 52.464952
296487, 53.397943
296488, 52.308248
296489, 52.235566
296490, 52.216174
296491, 52.503220
296492, 52.403794
296493, 52.433746
296494, 52.645771
296495, 54.327024
296496, 52.270954
296497, 53.967596
296498, 57.954650
298498, 72.010208
298499, 100.745750
302621, 68.374192
304162, 47.221000
304163, 49.179434
304164, 49.272500
314018, 63.697222
314569, 95.037037
314570, 76.773544
314573, 60.133913
314577, 74.627104
314578, 56.565625
314581, 69.632126
314582, 78.982788
314584, 112.627501
314585, 74.529296
315237, 66.268961
315238, 65.266018
315239, 66.145865
315312, 48.535820
315313, 52.117378
315314, 56.124024
317209, 65.128517
340851, 59.980382
341431, 52.692766
361452, 62.716230
362860, 68.227115
362861, 66.721018
362862, 66.761859
362863, 72.809950
362864, 64.119871
372784, 66.089522
374562, 70.678400
375035, 52.401000
375036, 65.553514
375037, 50.410000
377164, 73.532991
377165, 74.100114
377178, 68.817728
377188, 68.080400
377189, 76.331305
377190, 72.209655
377195, 69.508286
377723, 58.360241
377780, 120.765316
377842, 64.818654
377843, 56.142281
377844, 64.521944
378539, 66.073618
378584, 59.810214
378594, 98.996306
378601, 67.179122
379097, 61.297300
379099, 118.652614
379100, 60.810345
379102, 93.595493
379103, 102.267901
379110, 93.509144
379114, 58.068786
379118, 106.160357
379917, 87.252407
379920, 67.824600
379921, 99.659893
379922, 66.572301
379957, 65.420588
379958, 67.147310
379959, 65.096140
379960, 70.327840
379961, 58.946764
379962, 60.795726
379963, 56.929595
379964, 70.256558
379965, 57.308174
379966, 70.600872
379967, 66.543167
379968, 72.152610
379969, 65.188387
380417, 60.980584
380418, 56.397804
380420, 62.938017
380421, 53.653755
380422, 61.485611
380425, 60.287124
380427, 59.879281
380429, 66.576207
380637, 65.431892
380639, 64.443183
380640, 57.330038
380641, 69.361728
380642, 55.188312
380643, 60.873824
380644, 66.858845
380645, 66.148025
380646, 64.174400
380647, 59.953591
380648, 66.103179
380649, 57.143333
380650, 63.955404
380651, 54.097059
380652, 73.105692
380653, 61.035733
380654, 57.137916
380655, 63.920326
380656, 64.399044
380753, 67.648432
380754, 66.552061
380755, 66.214111
380756, 69.176889
380757, 68.149568
380758, 69.189143
380759, 66.906257
380760, 67.364028
380761, 56.891641
380762, 62.092304
380763, 68.614615
380764, 63.059708
380765, 64.454069
380766, 62.390725
380767, 60.775659
380768, 65.741176
380769, 69.017894
380923, 54.386923
380926, 58.295714
380929, 60.961174
380931, 58.297190
380933, 60.452682
380934, 60.053088
380936, 59.671126
380938, 90.840771
380940, 64.460390
380957, 59.005357
380958, 64.306364
380959, 65.805342
380960, 74.057429
380961, 70.724406
380963, 60.250714
380967, 65.152948
380968, 69.139272
380969, 72.830512
380972, 75.634695
380973, 68.401667
380977, 65.110756
380978, 60.318256
380980, 66.566161
380981, 68.585221
380982, 68.238421
380985, 57.788039
380986, 57.965124
380987, 63.342793
380988, 52.656488
380989, 63.794821
380990, 60.830965
380991, 56.153606
380992, 64.215471
380993, 60.122586
380994, 61.587411
380995, 59.351325
380996, 66.035764
380997, 62.589700
380998, 61.380070
380999, 55.911864
381000, 59.077844
381001, 58.980711
381002, 67.484838
381003, 53.465965
381004, 59.030028
381005, 55.816199
381006, 50.748802
381007, 57.812615
381014, 64.715665
381015, 65.924245
381016, 67.867424
381017, 61.349752
381077, 62.504438
381078, 65.946519
381079, 67.583659
381080, 57.384182
381081, 68.361686
381082, 63.130097
381083, 57.457745
381084, 63.418750
381085, 67.776034
381086, 66.748946
381087, 57.027710
381088, 60.229585
381089, 72.988193
381090, 66.574922
381091, 58.645421
381092, 68.667906
381093, 62.247807
381094, 65.784798
381095, 67.254727
381096, 56.177234
381097, 59.323333
381098, 58.298755
381099, 54.519997
381100, 66.455106
381101, 64.370786
381102, 64.605198
381103, 56.901247
381104, 59.591990
381106, 58.273394
381107, 60.475182
381108, 55.316911
381109, 55.633891
381110, 56.418557
381111, 47.465440
381516, 65.829133
381517, 64.109574
381518, 60.394559
381519, 65.680793
381520, 66.079071
381521, 68.735816
381522, 65.849614
381523, 62.974786
381524, 65.104897
381525, 64.974463
381526, 60.371238
381527, 61.750714
381528, 59.737079
381529, 65.281552
381530, 66.369495
381531, 69.795820
381532, 71.668131
381533, 68.679862
381534, 66.199736
381535, 60.395720
381536, 65.859431
381537, 64.338511
381538, 63.946714
381588, 57.478906
381589, 64.645233
381590, 69.477710
381591, 65.245220
381592, 72.412793
381593, 62.614776
381594, 70.429713
381595, 63.584015
381596, 63.594610
381597, 63.671832
381598, 62.134959
381599, 64.704883
381600, 62.280631
381601, 60.542703
381602, 70.817179
381603, 64.144864
381604, 68.152424
381605, 60.981221
381606, 66.781885
381607, 67.522620
381608, 63.915103
381609, 71.416816
381610, 60.610717
381611, 61.948754
381612, 56.537467
381613, 62.931141
381614, 73.575366
381615, 62.237753
381616, 52.653903
381617, 65.674540
381618, 61.080204
381619, 69.800992
381620, 64.155952
381988, 70.529238
381989, 70.091539
381990, 75.967500
381991, 70.829857
381992, 67.347834
381993, 71.180217
381994, 69.060572
381996, 60.449206
381997, 69.793448
381998, 57.818743
381999, 67.147761
382000, 66.684828
382001, 75.825973
382002, 64.415376
382003, 62.233882
382004, 63.816109
382005, 68.876267
382006, 66.995283
382007, 64.664588
382008, 69.170726
382009, 71.315628
382010, 62.418615
382011, 57.036762
382012, 72.803506
382013, 70.589617
382014, 61.271312
382015, 70.315017
382016, 72.935929
382017, 68.737215
382199, 62.003556
382200, 64.177653
382201, 62.358102
382202, 59.345574
382203, 70.576639
382204, 67.400162
382205, 65.924118
382206, 58.908696
382207, 65.212989
382208, 65.636685
382209, 66.816345
382210, 64.583131
382211, 62.171092
382212, 50.753421
382213, 60.801382
382214, 63.130602
382215, 63.304025
382216, 56.492971
382217, 62.449639
382218, 56.568696
382219, 53.907755
382220, 66.235423
382221, 64.937917
382222, 64.641230
382229, 68.641429
382230, 65.420432
382231, 70.424664
382232, 63.990702
382233, 69.225643
382234, 66.001356
382235, 62.131673
382236, 66.423310
382237, 65.740779
382238, 66.727407
382239, 68.760544
382240, 68.083096
382241, 66.581717
382242, 64.725060
382243, 67.136733
382244, 64.008829
382245, 67.493581
382246, 60.317450
382247, 57.716071
382248, 68.506538
382249, 68.890194
382250, 64.926047
382251, 67.578622
382252, 67.588558
382253, 66.549316
382254, 63.074192
382255, 66.807756
382256, 61.233003
382257, 73.127205
382258, 65.758682
382259, 67.537316
382260, 60.472566
382261, 58.790466
382262, 61.442210
382263, 61.595966
382264, 64.933763
382265, 70.727700
382266, 63.222487
382267, 59.913895
382268, 64.873256
382269, 49.134945
382270, 53.374470
382271, 74.474754
382272, 58.021003
382273, 56.700247
382274, 56.014611
382275, 49.608544
382276, 52.509924
382277, 64.003641
382444, 67.688178
382445, 62.696941
382446, 63.695264
382447, 78.877042
382448, 60.183296
382449, 61.746517
382450, 62.925309
382451, 68.867338
382452, 69.405402
382453, 65.871454
382454, 64.042857
382455, 65.613062
382456, 65.582810
382457, 62.781328
382458, 71.977077
382459, 68.169257
382460, 61.675185
382461, 69.790094
382462, 63.067636
382463, 63.104286
382464, 71.661784
382465, 69.704758
382466, 69.015087
382467, 62.009593
382468, 58.941536
382469, 64.862448
382470, 70.476972
382471, 58.275313
382472, 66.913416
382473, 76.095208
382474, 65.385131
382475, 65.647677
382476, 68.767062
382477, 63.750282
382478, 65.758274
382479, 58.587306
382480, 53.048592
382481, 60.529489
382482, 70.983868
382483, 66.202217
